Clinician_ID,Age,Gender,Hispanic/Latinx,Race,Year of Medical School
579536,25,Male,No,Asian,M2
579474,27,Female,No,White,M3
579547,26,Male,No,White,M2
579918,26,Male,No,White,M4
579494,29,Male,No,White,M4
584251,24,Male,Prefer not to answer,"Asian, White",M1
584286,,Male,Yes,Hispanic,M4
584978,27,Male,No,White,M3
126913,26,Male,No,Asian,M3
580167,27,Male,No,White,M3
579516,27,Female,No,White,M4
586608,24,Female,No,Asian,M1
579585,26,Female,No,Black or African American,M3
579536,25,Male,No,Asian,M3
587164,28,Female,No,White,M4
112168,25,Male,No,White,M3
585062,26,Male,Yes,White,M4
580262,28,Female,Prefer not to answer,Prefer not to answer,
587165,25,Female,No,White,M2
587166,26,Male,No,Asian,M3
587167,27,Female,No,Black or African American,M4
587168,24,Male,Yes,Hispanic,M1
587169,28,Female,No,White,M3
587170,25,Male,No,"Asian, White",M2
587171,26,Female,No,White,M4
587172,27,Male,No,Asian,M3
587173,24,Female,Prefer not to answer,White,M1
587174,29,Male,No,Black or African American,M4
587175,25,Female,No,White,M2
587176,26,Male,Yes,Hispanic,M3
587177,27,Female,No,White,M4
587178,24,Male,No,Asian,M1
587179,28,Female,No,"Asian, White",M3
587180,25,Male,No,White,M2
587181,26,Female,Prefer not to answer,Black or African American,M4
587182,27,Male,No,White,M3